name,title,date,url
잇기,"기획/PM직무 강연 (고,대학생/기업)",2024. 6. 29.,https://www.itgicreator.com
문학뉴스,문화콘텐츠 기획자 양성 '그로우(GROW) 1기' 진행,2024. 4. 13.,http://www.munhaknews.com
sadarischool.com,영상으로 영상 기획 정복 패키지 - 사다리스쿨,2024. 3. 27.,https://sadarischool.com
뉴스프리존,"통영시, '기획자? 기획자!' 프로그램 참가자 모집...""나도 문화 ...",2024. 7. 17.,https://www.newsfreezone.co.kr
ChatGPT,웹/앱 기획자 마스터,2024. 6. 4.,https://chatgpt.com
티스토리,기획자 이야기 - 기획 직무란 무엇인가?,2024. 3. 12.,https://mundol-story.tistory.com
인벤,[서평] 초보 개발자도 눈뜨게 해주는 '게임 기획의 정석',2024. 5. 8.,https://www.inven.co.kr
ACC 국립아시아문화전당,국립아시아문화전당 - 교육 - ACC 전문인 - 직군탐색(상세),2024. 6. 18.,https://www.acc.go.kr
ypec.kr,2024 축제기획자 양성과정 추진계획 및 참여 신청서,2024. 7. 1.,https://www.ypec.kr
에이콘출판사,게임 시나리오 기획자를 위한 안내서,2024. 5. 31.,http://www.acornpub.co.kr
intsums.com,"게임기획, 실전 게임 기획자 마스터 과정 > 정규클래스",2024. 3. 5.,https://intsums.com
티스토리,기획: 문제 정의와 해결의 과정 - 인문계공돌이,2024. 7. 22.,https://bizzengine.tistory.com
HR아카데미,[HR아카데미] 교육과정 기획 및 개발 실무,2024. 6. 14.,https://www.hracademy.co.kr
무신사,채용 - MUSINSA Corporation - 무신사,2024. 4. 1.,https://corp.musinsa.com
야메의 이상한 생각과 공감,"[마감] 12주 완성 기획마인드 강좌 93(온/오프 병행, 7/20 시작)",2024. 6. 4.,https://yamestyle.com
Threads,현장에 도착하면 사실 기획자의 역할은 끝난다. 더 이상 ...,2024. 6. 3.,https://www.threads.net
게임잡,게임잡: 게임 직업이 되다,2024. 2. 21.,No URL available
한겨레,탄탄한 스토리에 빨려든다…영화 속 주인공처럼 탈출하라! ...,2024. 7. 20.,https://www.hani.co.kr
나무위키,청해진해운 세월호 침몰 사고,2024. 6. 24.,https://namu.wiki
K글로벌타임스,해외박람회·피칭대회,2024. 6. 21.,https://www.kglobaltimes.com
outstanding.kr,"쉽고 재미있는 IT뉴스, 아웃스탠딩!",2024. 7. 28.,https://outstanding.kr
나무위키,조국혁신당,2024. 2. 29.,https://namu.wiki
LG U+,유독 Pick 2,2024. 4. 26.,https://m.lguplus.com
outstanding.kr,"쉽고 재미있는 IT뉴스, 아웃스탠딩!",2024. 6. 30.,https://outstanding.kr
바이라인네트워크,"[게임오브레전드] 컴투스, '야구 시장 제패' 이유 있었네",2024. 3. 22.,https://byline.network
펜타포스트,무료 AI 그림 사이트 6곳 추천,2024. 2. 28.,http://pentapost.net
투잡커넥트,"원고 수정, 치환, 세탁, 단어 변환 가능합니다.",2024. 5. 1.,https://www.tojobcn.com
투잡커넥트,블로그체험단,2024. 5. 1.,https://www.tojobcn.com
NAVER,중등 수학 2022 개정 교육과정 [2024년 초 - 네이버블로그,2024. 3. 28.,https://blog.naver.com
브런치스토리,"생후 2개월, 수면 교육 방법과 준비 과정",2024. 6. 26.,https://brunch.co.kr
경기도일자리재단,교육과정,2024. 7. 9.,https://www.gjf.or.kr
NAVER,포토샵학원 2개월 기본강의 커리큘럼 및 취업지원 프로그램 ...,2024. 3. 16.,https://blog.naver.com
오마이뉴스,"교사·교육감도 반대한 교육과정 벼락 변경... ""국가적 낭비""",2024. 4. 29.,https://www.ohmynews.com
울산광역시교육청,공동교육과정이란? - 울산고교학점제지원센터,2024. 2. 9.,https://use.go.kr
이수메트로간호종합학원,교육과정,2024. 4. 25.,http://isumetronurse.com
서울특별시교육청,2024학년도 중학교 교육과정 편성․운영 방향(안),2024. 1. 1.,No URL available
igachy.com,아이가치 놀이수업,2024. 6. 13.,https://igachy.com
알짜 온라인 특별직무교육,방과후보육 – 보육교사 보수교육 - 알짜닷컴,2024. 5. 26.,https://www.childcare.ac
경기청년포털,2024년 수도권 ICT 이노베이션 스퀘어 디지털 신기술 교육 ...,2024. 6. 12.,https://youth.gg.go.kr
국비지원교육정보센터,국비지원교육정보센터,2024. 4. 2.,https://gukbi.com
boottent.com,앨런 Swift문법 마스터 스쿨 (온라인 BootCamp - 2개월과정) 37기,2024. 7. 26.,https://boottent.com
굿티처,공지보육교직원 2024년 법정필수교육 안내,2024. 3. 21.,https://www.goodteacherac.com
마이에듀교사자람,2024년 어린이집 보육교직원 - 교육체계도 가이드북,2024. 1. 9.,No URL available
이화여자대학교 화공신소재공학전공,한국산업기술시험원(KTL) 미취업자 취업지원교육,2024. 3. 11.,No URL available
라이프인,"서울시여성능력개발원, 여성미래일자리 직업교육과정 ...",2024. 5. 24.,https://www.lifein.news
한국항공대학교 비행교육원,울진비행훈련원 과정(UPP),2024. 4. 13.,https://ftc.kau.ac.kr
파인만학원,"초등부/영재교육원 수학, 과학, 입시 프로그램",2024. 4. 27.,http://www.fineman.co.kr
구로구청,홈 > 초중등과정 > 초등 온라인학습,2024. 1. 9.,https://guro.go.kr
알짜 온라인 특별직무교육,영아보육 – 보육교사 보수교육 - 알짜닷컴,2024. 5. 16.,https://www.childcare.ac
농협 통신연수,과정구성 - :: 2023년 농협 통신연수 교육과정안내 ::,2024. 1. 2.,https://nonghyup.kacnet.co.kr
스카이 패러글라이딩 학교,한눈에 보는 교육 과정 | SKY PARA SCHOOL,2024. 4. 21.,https://www.skyparaschool.com
AVA사진학원,전문가과정,2024. 6. 12.,https://avakorea.co.kr
한국소프트웨어인재개발원,한국소프트웨어인재개발원 본원,2024. 6. 5.,https://ikosmo.co.kr
kslearning.co.kr,교 육 과 정 편 성 표,2024. 5. 18.,No URL available
shschool.kr,평생교육 :: 국비지원사이트 신현스쿨,2024. 7. 12.,http://shschool.kr
은행권청년창업재단,2. 2024 직업계고 현장실습 운영 매뉴얼 (제도 참고용),2024. 7. 31.,No URL available
국비지원교육정보센터,국비지원교육정보센터,2024. 6. 21.,https://www.gukbi.com
선간호학원,교육안내 - 간호조무사 교육,2024. 4. 13.,http://sunnursing.or.kr
승학평생교육원,[2024기업직업훈련카드]ChatGPT를 활용한 프리젠테이션& ...,2024. 4. 16.,https://www.shhrd.net
