keyword,name,title,date,url
기획자 과정,티스토리,"세균무기, 지구별에 기록을 남기다!",2024. 4. 17.,https://germweapon.tistory.com/
기획자 과정,웰로,문화 기획자 되고 싶은 청년들 모여라... 교육 과정 진행,2024. 4. 8.,https://www.welfarehello.com/community/hometownNews/d3ba6b72-5a97-4d4d-b1e4-e593c86e873f
기획자 과정,서울시사회복지사협회,"[마감]2024년 사회복지 기획자 워크숍 : 계획 말고 기획, ...",2024. 1. 3.,https://www.sasw.or.kr/zbxe/notice/707842
기획자 과정,티스토리,너 내 동료가 되라   '이것' 알면 탐이 나는 기획자가 될 수 있다는데?,2024. 7. 20.,https://phalanx-club.tistory.com/m/763
기획자 과정,잇기,기획자가 최소 알아야 하는 전략기획,2024. 6. 30.,https://www.itgicreator.com/2fd090be-d4d5-4537-8cdd-cef4328380c9
기획자 과정,제로베이스,대기업 서비스 기획자 100% 보장 | zero-base,2024. 5. 28.,https://zero-base.co.kr/category_biz_camp/school_pass_PM
기획자 과정,IN THIS WORK,마케터에서 서비스 기획자로의 커리어 전환을 생각하시는 ...,2024. 2. 28.,https://inthiswork.com/?kboard_content_redirect=319
기획자 과정,참빛파트너즈,1. 직장인에게 왜!! 기획력이 중요한 경쟁력인가?,2024. 1. 12.,http://www.charmvitpartners.com/down/Charmvit_08%20Smart%20Planner.pdf
기획자 과정,gokams.or.kr,[MBC아카데미] 공연기획(콘서트/뮤지컬) 교육생 20명 모집 ...,2024. 6. 5.,https://www.gokams.or.kr/01_news/event_view.aspx?Idx=44886
기획자 과정,핀테크투데이,[훈련생 모집] 한국핀테크지원센터x구름톤 '핀테크 서비스 ...,2024. 5. 30.,http://www.fintechtoday.co.kr/news/articleView.html?idxno=948
기획자 과정,AI타임스,"이스트소프트, 'AI 서비스 기획자' 양성...K-디지털 트레이닝 ...",2024. 4. 2.,https://www.aitimes.com/news/articleView.html?idxno=158469
기획자 과정,fcaiing.co.kr,"AI 서비스 기획과 기존 서비스 기획의 차이: 직무 역할 비교, 실 ...",2024. 7. 5.,https://fcaiing.co.kr/ai_aipmpo/
기획자 과정,핸드메이커,"시흥시, '2024 청년문화기획자 양성과정' 참가자 모집",2024. 4. 15.,https://www.handmk.com/news/articleView.html?idxno=21914
기획자 과정,중앙대학교 공학교육혁신센터,[퍼센트] <임팩트 커리어 실험실 : 그린 서비스 기획자>,2024. 5. 14.,https://abeek.cau.ac.kr/em/view.jsp?sc_board_seq=1&pk_seq=1326
기획자 과정,위너스피티,PPT 기획자가 하는 일 | 프레젠테이션 컨설팅 전문기업 ...,2024. 2. 15.,https://winnerspt.kr/ppt/ppt-%EA%B8%B0%ED%9A%8D%ED%95%98%EA%B8%B0-%EA%B8%B0%ED%9A%8D%EC%9E%90%EA%B0%80-%ED%95%98%EB%8A%94-%EC%9D%BC/
기획자 과정,예스24,잘나가는 서비스 기획자 도그냥은 왜 PM/PO가 되었을까?,2024. 4. 17.,https://m.yes24.com/Goods/Detail/125992691
기획자 과정,사람인,[온라인/5주과정] 비전공자도 될 수 있는 서비스기획자/PM 9 ...,2024. 7. 3.,https://m.saramin.co.kr/company-review-qst-and-ans/detail-page?qust_idx=75710
기획자 과정,cruiting.co.kr,[잇기] 현직 기획자와 함께하는 역기획스터디 7기모집 (~7/15),2024. 7. 3.,https://www.cruiting.co.kr/edu_online/24337
기획자 과정,이지스퍼블리싱,Do it! 웹 사이트 기획 입문 - 전면 개정판,2024. 1. 5.,http://www.easyspub.co.kr/20_Menu/BookView/PUB/641/PUB
기획자 과정,경상남도교육청,경남 그린스마트 미래학교 - 학교 업무담당자,2024. 4. 12.,https://www.gne.go.kr/upload_data/board_data/workroom/170830377018952.pdf
기획자 과정,인천대학교,인문문화예술기획연계전공,2024. 4. 23.,https://www.inu.ac.kr/inufrance/1938/subview.do
